,0
if,1
difficult,1
gallup,1
related,1
words,3
and,4
in,2
survey,1
but,2
replace,1
examining,1
this,3
that,1
so,2
used,1
attitude,1
it,2
how,1
possible,1
unambiguous,1
machine,2
commonly,1
which,1
the,13
can,2
statistical,1
definitions,2
such,2
is,6
propose,1
found,1
with,1
begin,1
reflect,1
instead,1
expressed,1
might,1
consider,1
escape,1
relatively,1
to,7
far,1
are,2
think,4
closely,1
attempting,1
meaning,3
poll,1
machines,2
i,2
conclusion,1
sought,1
absurd,1
a,3
terms,1
another,1
framed,1
of,5
question,3
shall,1
definition,1
answer,1
by,2
they,1
should,1
be,3
dangerous,1
normal,1
as,3
use,1
